Venue Category,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude
Ski Area,Kraków,50.06045,19.93243,Siepraw Ski,49.90496242157911,19.99479516306899
Ski Area,Helsinki,60.17116,24.93266,Oittaan ladut,60.23998909876104,24.657905036427458
Ski Area,Düsseldorf,51.21564,6.77662,Alpenpark Neuss,51.171399693870804,6.649000873243011
Australian Restaurant,Milan,45.46796,9.18178,La Buatta del Kangaroo,45.5436963127724,9.187765374966071
Australian Restaurant,Amsterdam,52.36994,4.90788,DroversDog,52.362545238658164,4.9349523353462095
Australian Restaurant,Hanover,52.37228,9.73816,OutbaX Spirit,52.401420564222626,9.802863954630178
Mountain,Berlin,52.51605,13.37691,Drachenberg,52.50259438511879,13.249834009043283
Mountain,Berlin,52.51605,13.37691,Hahneberg,52.51809976365255,13.1501015314598
Mountain,Vienna,48.20263,16.36843,Kahlenberg,48.27449309715213,16.33684228393701
Mountain,Vienna,48.20263,16.36843,Leopoldsberg,48.27810267018187,16.34550278109301
Mountain,Budapest,47.49973,19.05508,Gellért-hegy,47.48638199360751,19.046945571899414
Mountain,Budapest,47.49973,19.05508,Hármashatár-hegy,47.55549399538409,18.9989896146647
Mountain,Budapest,47.49973,19.05508,Aranyhegy,47.5716909760895,19.02730463277868
Mountain,Barcelona,41.38804,2.17001,Muntanya Pelada,41.41827544063098,2.153213675012205
Mountain,Barcelona,41.38804,2.17001,Muntanya de Tibidabo,41.42346304302527,2.1194536745075383
Mountain,Marseille,43.29338,5.37132,Cap Canaille,43.19967134460562,5.552279968636882
Mountain,Frankfurt,50.11208,8.68342,Altkönig,50.212119387791994,8.482346534729004
Mountain,Athens,37.97614,23.7364,Mount Ymittos (Όρος Υμηττός),37.956156602689205,23.81765776587104
Mountain,Athens,37.97614,23.7364,Mount Penteli (Όρος Πεντέλη),38.056514697333846,23.863182229765922
Mountain,Athens,37.97614,23.7364,Parnitha (Πάρνηθα),38.145762579180364,23.719654083251953
Mountain,Stuttgart,48.76779,9.17203,Birkenkopf,48.76536035535579,9.131595894988449
Mountain,Dortmund,51.51661,7.4583,Tippelsberg,51.50711420852487,7.226855179627479
Mountain,Essen,51.45183,7.01109,Tippelsberg,51.50711420852487,7.226855179627479
Mountain,Essen,51.45183,7.01109,Halde Hoheward,51.56855296643325,7.1703041890978
Mountain,Bologna,44.50485,11.34507,Appennino Tosco Emiliano,44.350543754972385,11.263541143849455
Mountain,Bochum,51.488,7.21399,Tippelsberg,51.50711420852487,7.226855179627479
Mountain,Bochum,51.488,7.21399,Halde Hoheward,51.56855296643325,7.1703041890978
Mountain,Nice,43.70029,7.27766,Col de Vence,43.75929009678161,7.081730073342784
Mountain,Bonn,50.73243,7.10187,Drachenfels,50.66431536241748,7.210056781768799
Mountain,Bonn,50.73243,7.10187,Naturschutzgebiet Rodderberg,50.65283428687122,7.189699450058089
Photography Studio,Düsseldorf,51.21564,6.77662,FotoStudio Fotograf Robert Freund,51.235011941306695,6.788907051086426
Pedestrian Plaza,Paris,48.85718,2.34141,Cour Carrée du Louvre,48.8603598795578,2.3385429382324214
Pedestrian Plaza,Vienna,48.20263,16.36843,Kärntner Straße,48.20700229821187,16.371795303421095
Pedestrian Plaza,Vienna,48.20263,16.36843,Graben,48.2089149326547,16.36937850431819
Pedestrian Plaza,Budapest,47.49973,19.05508,Dumtsa sétány,47.66605814397206,19.076281337782138
Pedestrian Plaza,Milan,45.46796,9.18178,Via Della Spiga,45.469507086421004,9.19724655996214
Pedestrian Plaza,Prague,50.07913,14.43303,II. hradní nádvoří,50.09045862311448,14.398893459081876
Pedestrian Plaza,Prague,50.07913,14.43303,Letenská pláň,50.09752772890083,14.415585994720459
Pedestrian Plaza,Cologne,50.94168,6.95517,Rheinpromenade,50.945449417756926,6.96364209043918
Pedestrian Plaza,Cologne,50.94168,6.95517,Deutzer Rheinufer,50.935176897255666,6.969451904296875
Pedestrian Plaza,Cologne,50.94168,6.95517,Rheinufer Altstadt,50.93882659733972,6.962870027971316
Pedestrian Plaza,Cologne,50.94168,6.95517,Rheinufer Köln-Porz,50.88494915484723,7.054277207415291
Pedestrian Plaza,Cologne,50.94168,6.95517,Fußgängerzone Bergisch Gladbach,50.99110977041146,7.126136058968944
Pedestrian Plaza,Kraków,50.06045,19.93243,Bulwar Poleski,50.05158392386683,19.934959737669196
Pedestrian Plaza,Athens,37.97614,23.7364,Dionysiou Areopagitou (Διονυσίου Αρεοπαγίτου),37.96949962694601,23.729630090695938
Pedestrian Plaza,Athens,37.97614,23.7364,Αποστόλου Παύλου,37.972999761848115,23.72050691079445
Pedestrian Plaza,Riga,56.94599,24.11487,Krasta ielas promenāde,56.940542,24.116932
Pedestrian Plaza,Riga,56.94599,24.11487,Daugavas promenāde,56.92060556436492,24.178339076096364
Pedestrian Plaza,Riga,56.94599,24.11487,Jomas iela,56.97312478559768,23.803217234358755
Pedestrian Plaza,Düsseldorf,51.21564,6.77662,Rheinuferpromenade,51.22527547797048,6.7702036453461725
Pedestrian Plaza,Düsseldorf,51.21564,6.77662,Rheinufer,51.22111788042267,6.767457773523959
Pedestrian Plaza,Bremen,53.07537,8.80454,Obernstraße mit Domblick,53.077173520227944,8.80545719622813
Pedestrian Plaza,Hanover,52.37228,9.73816,Lister Meile,52.384070442239896,9.74682104170031
Pedestrian Plaza,Lyon,45.75917,4.82966,Rue Saint-Jean,45.76254270284707,4.827629046437778
Pedestrian Plaza,Lyon,45.75917,4.82966,Berges du Rhône,45.76361611013981,4.840893745422363
Pedestrian Plaza,Duisburg,51.43148,6.76356,CentrO Promenade,51.49144186480082,6.87755422054471
Pedestrian Plaza,Palma de Mallorca,39.57149,2.64694,Passeig des Born,39.56960565719836,2.6465171642069008
Pedestrian Plaza,Brno,49.19728,16.60368,Ostrůvek bezpečí mezi kolejemi na České,49.197613,16.605247
Pedestrian Plaza,Bonn,50.73243,7.10187,Rheinufer Köln-Porz,50.88494915484723,7.054277207415291
Pedestrian Plaza,Bonn,50.73243,7.10187,Rheinpromenade Remagen,50.57997576484104,7.23057667343878
Pedestrian Plaza,Mannheim,49.48651,8.46679,Hauptstraße,49.410412425841265,8.697520508594607
Island,Paris,48.85718,2.34141,Île des Impressionnistes,48.886730941578264,2.1614610481327143
Island,Budapest,47.49973,19.05508,Margitsziget,47.52751787563006,19.04780387878418
Island,Prague,50.07913,14.43303,Kampa,50.083981323773244,14.407711029052734
Island,Prague,50.07913,14.43303,Střelecký ostrov,50.08184714052992,14.409899711608887
Island,Naples,40.84016,14.25222,Isolotto di Megaride (Borgo Marinari),40.828287826677105,14.248414394084005
Island,Amsterdam,52.36994,4.90788,Marken,52.45753531546697,5.102246667716513
Island,Marseille,43.29338,5.37132,Île de Riou,43.177548188824325,5.383021831512451
Island,Helsinki,60.17116,24.93266,Pihlajasaari,60.137952,24.915003
Island,Helsinki,60.17116,24.93266,Mustikkamaa / Blåbärslandet,60.18149314744058,24.98862110349742
Island,Helsinki,60.17116,24.93266,Suomenlinna / Sveaborg (Suomenlinna),60.14639714311618,24.988703727722168
Island,Rotterdam,51.91439,4.48717,Noordereiland,51.91371155365092,4.495979731959574
Island,Gothenburg,57.70068,11.96823,Vrångö,57.59956748991905,11.792000797841697
Art Gallery,Madrid,40.41956,-3.69196,Fundación Mapfre Recoletos,40.42245013153158,-3.6921511784298437
Art Gallery,Madrid,40.41956,-3.69196,Tabacalera  Promoción del Arte,40.40638581945433,-3.7032421479989543
Art Gallery,Madrid,40.41956,-3.69196,Matadero Madrid,40.39227020881504,-3.697500228881836
Art Gallery,Madrid,40.41956,-3.69196,CA2M Centro de Arte 2 de Mayo,40.324614030747576,-3.8632492215119143
Art Gallery,Milan,45.46796,9.18178,Palazzo Reale,45.46295958166468,9.191347534052955
Art Gallery,Milan,45.46796,9.18178,Pirelli Hangar Bicocca,45.520988361342766,9.219256699208465
Art Gallery,Prague,50.07913,14.43303,Pelléova Villa,50.09912538151905,14.407441346866054
Art Gallery,Prague,50.07913,14.43303,DOX Centre for Contemporary Art (DOX Centrum současného umění),50.10689119439508,14.447515602960527
Art Gallery,Stockholm,59.33258,18.06683,Artipelag,59.306431350461324,18.34686757472573
Art Gallery,Copenhagen,55.67567,12.56756,Cisternerne,55.669541,12.524161
Art Gallery,Valencia,39.46895,-0.37686,La Fábrica de Hielo,39.46963816938967,-0.3250854814857106
Art Gallery,Kraków,50.06045,19.93243,MNK Kamienica Szołayskich,50.06343990326279,19.935738784787127
Art Gallery,Athens,37.97614,23.7364,Lighthouse (SNFCC),37.93949298745599,23.691071830540952
Art Gallery,Helsinki,60.17116,24.93266,Taidehalli,60.172127213487165,24.93101423081712
Art Gallery,Riga,56.94599,24.11487,Imanta tattoo,56.95076494483624,24.125620483964717
Art Gallery,Riga,56.94599,24.11487,Noass,56.94540379902663,24.095235023025953
Art Gallery,Essen,51.45183,7.01109,Ludwig Galerie,51.4921008159785,6.860333571705971
Art Gallery,Gothenburg,57.70068,11.96823,Röda sten,57.68929013596305,11.901692851544599
Art Gallery,Dresden,51.05364,13.74082,Kunsthofpassage,51.067897583155755,13.754246318165194
Art Gallery,Lyon,45.75917,4.82966,La Sucrière,45.736892430671695,4.815078940775066
Art Gallery,Lyon,45.75917,4.82966,La Demeure du Chaos,45.83741421049177,4.8266836771446995
Art Gallery,Lisbon,38.72639,-9.14949,ZDB - Galeria Zé dos Bois,38.711796,-9.144575
Art Gallery,Lisbon,38.72639,-9.14949,Centro Cultural Palácio do Egipto,38.691888760961035,-9.311269336684044
Art Gallery,Duisburg,51.43148,6.76356,Ludwig Galerie,51.4921008159785,6.860333571705971
Art Gallery,Duisburg,51.43148,6.76356,Schloss Oberhausen,51.49231605443285,6.861133921343401
Art Gallery,Palma de Mallorca,39.57149,2.64694,Fundació Pilar i Joan Miró,39.55487378931335,2.609979561213943
Art Gallery,Utrecht,52.08979,5.11415,Metaalkathedraal,52.08196076894427,5.06713840329729
Art Gallery,Malmö,55.5967,13.0011,Malmö Konsthall,55.5952862,12.9987865
Gastropub,Berlin,52.51605,13.37691,Hirsch & Hase,52.541924,13.393521
Gastropub,Madrid,40.41956,-3.69196,Los Quesos de l'Amelie,40.45103964379575,-3.6496303954715135
Gastropub,Madrid,40.41956,-3.69196,El Rincón del Greco,40.37984820598649,-3.7487899291840074
Gastropub,Madrid,40.41956,-3.69196,Twister Rock&Food,40.33090443273114,-3.7680203748272705
Gastropub,Madrid,40.41956,-3.69196,Flanker Gastro-Bar,40.49412344687874,-3.880560972742727
Gastropub,Madrid,40.41956,-3.69196,La Soci De Longo,40.35721460071657,-3.9007259001273984
Gastropub,Rome,41.90323,12.49566,L'Oasi della Birra,41.87976116706222,12.477305130292393
Gastropub,Rome,41.90323,12.49566,Lannister,41.91699037461353,12.372724558127747
Gastropub,Rome,41.90323,12.49566,Blue Pub,42.0022848232107,12.624399054096045
Gastropub,Vienna,48.20263,16.36843,Kolar,48.2105380682773,16.370033124045836
Gastropub,Vienna,48.20263,16.36843,Gasthaus Automat Welt,48.22245499560884,16.386873974408463
Gastropub,Vienna,48.20263,16.36843,Amerlingbeisl,48.20315048686273,16.35445709809925
Gastropub,Vienna,48.20263,16.36843,Zum Holunderstrauch,48.21225389331721,16.362183883492698
Gastropub,Vienna,48.20263,16.36843,Gasthaus Quell,48.18934500529444,16.33036253990416
Gastropub,Vienna,48.20263,16.36843,HERBECK,48.2325420637738,16.31734949035508
Gastropub,Vienna,48.20263,16.36843,Terrassenheuriger Trimmel,48.31491862937089,16.356541997631613
Gastropub,Vienna,48.20263,16.36843,Uferhaus,48.32827219664003,16.328488373164795
Gastropub,Vienna,48.20263,16.36843,Waldschenke,48.279397018769856,16.171116819106793
Gastropub,Budapest,47.49973,19.05508,Teddy Beer,47.667095,19.075901
Gastropub,Barcelona,41.38804,2.17001,Perikete,41.3813258,2.1834208
Gastropub,Barcelona,41.38804,2.17001,Blavis,41.40330282649391,2.147297919288358
Gastropub,Barcelona,41.38804,2.17001,La Mundana,41.38113627955784,2.1358934123430102
Gastropub,Barcelona,41.38804,2.17001,La Tere Gastro Bar,41.37651,2.1383877
Gastropub,Barcelona,41.38804,2.17001,Ébano Gastro-Bar,41.503997269901284,2.0886978044183073
Gastropub,Munich,48.13642,11.57755,Tannengarten,48.123233,11.541172
Gastropub,Milan,45.46796,9.18178,Carrobiolo Brewpub,45.578475311451975,9.269696385872226
Gastropub,Milan,45.46796,9.18178,Birreria Due Spade,45.53682358760921,8.990052986799089
Gastropub,Naples,40.84016,14.25222,The Black Hole,40.79336450305796,14.362569730562889
Gastropub,Naples,40.84016,14.25222,Il Magnifico,40.985146499100274,14.208828362968733
Gastropub,Naples,40.84016,14.25222,Burger Chef,40.79412764302418,14.06885267061976
Gastropub,Amsterdam,52.36994,4.90788,Hannekes Boom,52.376087996165474,4.911682946957893
Gastropub,Amsterdam,52.36994,4.90788,Pllek,52.39902943389349,4.893159749439702
Gastropub,Amsterdam,52.36994,4.90788,Eetcafé De Toog,52.45759834435768,4.81120357042186
Gastropub,Valencia,39.46895,-0.37686,La Paca,39.4643,-0.331792
Gastropub,Frankfurt,50.11208,8.68342,Marktweib,50.20299864721192,8.576817727101892
Gastropub,Frankfurt,50.11208,8.68342,der Laden,50.13313119623604,8.918836631331722
Gastropub,Helsinki,60.17116,24.93266,Harbour Tap & Taste,60.183912060225516,24.982927866606275
Gastropub,Rotterdam,51.91439,4.48717,Vessel 11,51.917111584282175,4.484461231983601
Gastropub,Rotterdam,51.91439,4.48717,Kaapse Maria,51.91774258889211,4.472609831836804
Gastropub,Rotterdam,51.91439,4.48717,Eetcafé t Trefpunt,51.93862,4.4852366
Gastropub,Rotterdam,51.91439,4.48717,Post,51.81038113936199,4.668312569892615
Gastropub,Stuttgart,48.76779,9.17203,Brennbar Nürtingen,48.627964,9.336408
Gastropub,Riga,56.94599,24.11487,Fazenda,56.94330627594964,24.078110724741922
Gastropub,Riga,56.94599,24.11487,"Krodziņš ""Nēğis""",56.850410862866845,24.224213635903173
Gastropub,Düsseldorf,51.21564,6.77662,Liebevoll! in der Auermühle,51.30636948533553,6.8807662562454315
Gastropub,Düsseldorf,51.21564,6.77662,Bräuhaus,51.15846931312944,7.003427588879082
Gastropub,Dortmund,51.51661,7.4583,Küchen-Wirtschaft Bismarck,51.512918346665764,7.483264405154789
Gastropub,Essen,51.45183,7.01109,Restaurant & Biergarten Tomate,51.41519711512744,6.877055443042198
Gastropub,Essen,51.45183,7.01109,Liebevoll! in der Auermühle,51.30636948533553,6.8807662562454315
Gastropub,Bremen,53.07537,8.80454,Medoo,53.07299226318512,8.829561233801536
Gastropub,Bremen,53.07537,8.80454,Crossini,53.090192125885444,8.934946963513191
Gastropub,Dresden,51.05364,13.74082,Sankt Pauli,51.075003,13.750167
Gastropub,Dresden,51.05364,13.74082,Pillnitzer Elbblick,51.0063527705958,13.873713569652912
Gastropub,The Hague,52.08409,4.31732,Jamey Bennett,52.07979589282061,4.309398013019319
Gastropub,The Hague,52.08409,4.31732,Eterij & Proeflokaal Het Stadsbrouwhuis,52.160173423755424,4.488877431795466
Gastropub,The Hague,52.08409,4.31732,Eetcafé t Trefpunt,51.93862,4.4852366
Gastropub,Hanover,52.37228,9.73816,Alter Bahnhof Anderten,52.36888206,9.86115732
Gastropub,Antwerp,51.22213,4.39769,Sacchetti's,51.08068332172563,4.366368134409667
Gastropub,Lyon,45.75917,4.82966,Café Le Déjà Vu,45.61876841,4.67611494
Gastropub,Lisbon,38.72639,-9.14949,Eva Bar & Restaurante,38.710733,-9.140841
Gastropub,Lisbon,38.72639,-9.14949,Casa Independente,38.72084089219337,-9.134476614595926
Gastropub,Duisburg,51.43148,6.76356,Restaurant & Biergarten Tomate,51.41519711512744,6.877055443042198
Gastropub,Duisburg,51.43148,6.76356,Liebevoll! in der Auermühle,51.30636948533553,6.8807662562454315
Gastropub,Toulouse,43.60579,1.44864,Le Bistrologue,43.59884872971028,1.4287827819441812
Gastropub,Brno,49.19728,16.60368,Potrefená husa,49.2078365280653,16.686216378271617
Gastropub,Brno,49.19728,16.60368,Zámecká Sýpka,49.36461229566091,16.646896407144116
Gastropub,Brno,49.19728,16.60368,Restaurace a Penzion U Kostela,49.104687,16.7557659
Gastropub,Brno,49.19728,16.60368,Pivnice Na Pražci,49.35268827187702,16.64731773848922
Gastropub,Florence,43.78238,11.25502,College House,43.79269334201419,11.229752714011365
Gastropub,Bochum,51.488,7.21399,Küchen-Wirtschaft Bismarck,51.512918346665764,7.483264405154789
Gastropub,Utrecht,52.08979,5.11415,Miyagi And Jones,52.0866045966102,5.106444520299192
Gastropub,Utrecht,52.08979,5.11415,De Notabelen,52.03490649189235,5.345792348579292
Gastropub,Wuppertal,51.27165,7.19678,Katzengold,51.25589563577453,7.136333584785461
Gastropub,Wuppertal,51.27165,7.19678,Café Restaurant Rausmühle,51.10174339313938,7.182440757751465
Gastropub,Wuppertal,51.27165,7.19678,Bräuhaus,51.15846931312944,7.003427588879082
Gastropub,Bilbao,43.2689,-2.9453,Cinnamon,43.26401108595517,-2.928069226182618
Gastropub,Bilbao,43.2689,-2.9453,Singular,43.26638543584288,-2.930849265096597
Gastropub,Bielefeld,52.01548,8.53232,Gaststätte Sedan,52.0716568872549,8.413769828144975
Gastropub,Bielefeld,52.01548,8.53232,Blue Fox,51.892529216751306,8.365560215703354
Gastropub,Bari,41.12588,16.86666,Factory,41.11332293912482,16.86414268268607
Gastropub,Karlsruhe,49.01094,8.40846,HubRaum,49.008957363706706,8.468802240182942
Gastropub,Karlsruhe,49.01094,8.40846,Rheinblick,49.1154462,8.3658511
Gastropub,Karlsruhe,49.01094,8.40846,Backhaus Sallenbusch,49.05068236037934,8.579413229958314
Gastropub,Catania,37.51136,15.06752,Rosemary's Pub,37.61380309415891,15.025957794118806
Gastropub,Mannheim,49.48651,8.46679,Zum alten Engel,49.31770198985669,8.430571522051782
Gastropub,Mannheim,49.48651,8.46679,Bistro Maximum,49.55142698454483,8.58333843538247
Bookstore,Berlin,52.51605,13.37691,Dussmann English Bookshop,52.518222843680675,13.389239378375944
Bookstore,Berlin,52.51605,13.37691,Dussmann das KulturKaufhaus,52.518312,13.388708
Bookstore,Berlin,52.51605,13.37691,do you read me?!,52.52721193085127,13.397700600251317
Bookstore,Berlin,52.51605,13.37691,Saint George's,52.53597689739696,13.421060493864418
Bookstore,Berlin,52.51605,13.37691,Bücherbogen,52.505095181456156,13.321961290189389
Bookstore,Berlin,52.51605,13.37691,Shakespeare and Sons,52.512636356259506,13.453112840652466
Bookstore,Madrid,40.41956,-3.69196,Panta Rhei,40.423553323104244,-3.7001508785469985
Bookstore,Madrid,40.41956,-3.69196,Tipos Infames,40.42480725772673,-3.701105892942192
Bookstore,Rome,41.90323,12.49566,La Feltrinelli Libri e Musica,41.86543578053638,12.468903275857048
Bookstore,Paris,48.85718,2.34141,Shakespeare & Company,48.85256839809226,2.3470958322286606
Bookstore,Paris,48.85718,2.34141,Librairie Galignani,48.864989,2.32857
Bookstore,Paris,48.85718,2.34141,Artazart Design Bookstore,48.872701633153994,2.3637729768961435
Bookstore,Hamburg,53.55562,9.98746,cohen+dobernigg,53.558537100966596,9.967227733400778
Bookstore,Budapest,47.49973,19.05508,Bestsellers könyvesbolt,47.50092187136555,19.050915900874152
Bookstore,Budapest,47.49973,19.05508,Massolit Books & Café,47.498508241632315,19.06405449147056
Bookstore,Barcelona,41.38804,2.17001,La Central del Raval,41.38358596080116,2.1689486932103805
Bookstore,Barcelona,41.38804,2.17001,Librería Gigamesh,41.39177663737363,2.177398920788187
Bookstore,Munich,48.13642,11.57755,Soda. Bücher und Magazine.,48.13328702311629,11.575602049295162
Bookstore,Milan,45.46796,9.18178,Libreria Verso,45.45727191051322,9.180973601732962
Bookstore,Milan,45.46796,9.18178,Triennale Bookstore,45.47240116908333,9.173833777046935
Bookstore,Cologne,50.94168,6.95517,Buchhandlung Walther König,50.938571778249205,6.94490239016686
Bookstore,Cologne,50.94168,6.95517,Thalia,50.99047,7.12559
Bookstore,Stockholm,59.33258,18.06683,Science Fiction Bokhandeln,59.32404679408319,18.070682162632647
Bookstore,Stockholm,59.33258,18.06683,Papercut,59.31718276141575,18.054741813193974
Bookstore,Stockholm,59.33258,18.06683,Söderbokhandeln,59.3160343,18.0725025
Bookstore,Naples,40.84016,14.25222,Mondadori Multicenter,41.00348586386721,14.32863216706687
Bookstore,Amsterdam,52.36994,4.90788,The American Book Center,52.36891063795359,4.8894249610665605
Bookstore,Amsterdam,52.36994,4.90788,Scheltema,52.37220458591638,4.893175115256038
Bookstore,Amsterdam,52.36994,4.90788,Hoogstins,52.366365657957225,4.8689643779237555
Bookstore,Amsterdam,52.36994,4.90788,H. de Vries Boeken,52.38158,4.63223
Bookstore,Copenhagen,55.67567,12.56756,Boghallen,55.676788311149025,12.568394611814783
Bookstore,Kraków,50.06045,19.93243,Massolit Books & Café,50.058426,19.929543
Bookstore,Kraków,50.06045,19.93243,Lokator,50.04824726527635,19.945323524577418
Bookstore,Athens,37.97614,23.7364,Politeia Bookstore (Βιβλιοπωλείο Πολιτεία),37.98183549652704,23.734884701443136
Bookstore,Riga,56.94599,24.11487,Robert's Books,56.95670808262011,24.117278277034572
Bookstore,Riga,56.94599,24.11487,Globuss,56.954704373904036,24.120910541639375
Bookstore,Düsseldorf,51.21564,6.77662,Mayersche Buchhandlung,51.22552185408208,6.779896440003761
Bookstore,Dortmund,51.51661,7.4583,Mayersche Buchhandlung,51.51440430673332,7.463835182592187
Bookstore,Essen,51.45183,7.01109,Thalia,51.43743379,6.95406391
Bookstore,Gothenburg,57.70068,11.96823,Science Fiction Bokhandeln,57.70381784919471,11.962666914916595
Bookstore,The Hague,52.08409,4.31732,The American Book Center,52.07888213369707,4.314970743034015
Bookstore,Antwerp,51.22213,4.39769,Copyright,51.21732004463701,4.399895803706711
Bookstore,Antwerp,51.22213,4.39769,De Groene Waterman,51.22164951794753,4.402729143969631
Bookstore,Nuremberg,49.45435,11.0735,Thalia,49.4510255,11.0735886
Bookstore,Nuremberg,49.45435,11.0735,Thalia,49.596518,11.0048851
Bookstore,Lyon,45.75917,4.82966,Datta,45.76875860028582,4.836130222658696
Bookstore,Lisbon,38.72639,-9.14949,Ler Devagar,38.70275236424443,-9.178520310976923
Bookstore,Duisburg,51.43148,6.76356,Thalia,51.43743379,6.95406391
Bookstore,Toulouse,43.60579,1.44864,Ombres Blanches,43.60314614926247,1.4425149834433009
Bookstore,Bologna,44.50485,11.34507,Libreria.Coop Ambasciatori,44.49380538064755,11.345002204099035
Bookstore,Bologna,44.50485,11.34507,Libreria Ulisse,44.478881,11.366718
Bookstore,Brno,49.19728,16.60368,Barvič & Novotný,49.196074,16.60603
Bookstore,Florence,43.78238,11.25502,Todo Modo - libreria caffè teatro,43.771679093134345,11.24797859395624
Bookstore,Bochum,51.488,7.21399,Mayersche Buchhandlung,51.51440430673332,7.463835182592187
Bookstore,Bochum,51.488,7.21399,Thalia,51.43743379,6.95406391
Bookstore,Bilbao,43.2689,-2.9453,Joker Cómics,43.25942316527691,-2.932026685267397
Bookstore,Malmö,55.5967,13.0011,Science Fiction Bokhandeln,55.598314384565,13.001171638826241
Bookstore,Bari,41.12588,16.86666,Feltrinelli,41.12256113892794,16.87128665789206
Bookstore,Bari,41.12588,16.86666,La Feltrinelli Village,40.96714808558136,16.92523356778123
Bookstore,Münster,51.96302,7.61782,Thalia,51.9624,7.62949
Bookstore,Catania,37.51136,15.06752,La Feltrinelli Village,37.477458938292806,15.010378334564944
Lingerie Store,Copenhagen,55.67567,12.56756,Victoria's Secret,55.628487402153766,12.645592966550225
Lingerie Store,Antwerp,51.22213,4.39769,Hunkemöller,51.21861131141485,4.4055309891700745
Food Truck,Prague,50.07913,14.43303,Cocovan,50.08329969687377,14.409960640441737
Food Truck,Cologne,50.94168,6.95517,Grillwagen,50.87921314877773,6.873798301140085
Food Truck,Stockholm,59.33258,18.06683,Funky Chicken Food Truck,59.31646664027835,18.16111759760793
Food Truck,Naples,40.84016,14.25222,Giggin è semp n'amic,40.811726111651886,14.35494128983556
Food Truck,Turin,45.06236,7.67994,Gino Panino,45.03239243881129,7.672928545751222
Food Truck,Copenhagen,55.67567,12.56756,John's Hotdog Deli,55.65821478034709,12.644168334653605
Food Truck,Copenhagen,55.67567,12.56756,Bjarnes Pølser,55.73465101273702,12.363237205638189
Food Truck,Copenhagen,55.67567,12.56756,Pølse Kompagniet,55.67455044751535,12.621453224027126
Food Truck,Kraków,50.06045,19.93243,Kiełbaski z Niebieskiej Nyski,50.05884664011213,19.95013927163618
Food Truck,Kraków,50.06045,19.93243,Frytki Belgijskie w Krakowie,50.05017105545466,19.948061783247102
Food Truck,Rotterdam,51.91439,4.48717,Mama Hông,51.98072197770625,4.456795289840659
Food Truck,Dortmund,51.51661,7.4583,Wurst Willi,51.51446272815462,7.460386176620428
Food Truck,Dortmund,51.51661,7.4583,Snack 'n' Roll Food Truck,51.427074566586064,7.287080632653517
Food Truck,Essen,51.45183,7.01109,La Barca Pizzawagen,51.43041853961858,6.781044222838295
Food Truck,Essen,51.45183,7.01109,Snack 'n' Roll Food Truck,51.427074566586064,7.287080632653517
Food Truck,Gothenburg,57.70068,11.96823,Jinx Food Truck,57.70300066403648,11.962578020263265
Food Truck,The Hague,52.08409,4.31732,Haringkraam Buitenhof,52.07912973610776,4.311125984278851
Food Truck,The Hague,52.08409,4.31732,Mama Hông,51.98072197770625,4.456795289840659
Food Truck,Duisburg,51.43148,6.76356,La Barca Pizzawagen,51.43041853961858,6.781044222838295
